Game Name,Original Price,Sale Price,Sale Rate,Date,End Date,Page Link
Sky Games 하늘 게임,17900,1000,94%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000048536
Marooners,16700,1000,94%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000025051
Death's Door,23350,5830,75%,2025-08-30,2025/9/11 23:59,https://store.nintendo.co.kr/70010000048195
Enter the Gungeon (한국어판),17250,4310,75%,2025-08-30,2025/9/11 23:59,https://store.nintendo.co.kr/70010000043522
드래곤볼 Z 카카로트 + 새로운 각성 편,29800,19800,34%,2025-08-30,2025/9/23 23:59,https://store.nintendo.co.kr/70010000035339
드림하우스 스토리DX(Dream House Days DX),15000,7500,50%,2025-08-30,2025/9/2 23:59,https://store.nintendo.co.kr/70010000038563
Wing of Darkness 유익의 프로일라인,34800,6960,80%,2025-08-30,2025/9/3 23:59,https://store.nintendo.co.kr/70010000034488
BRAVELY DEFAULT II,69800,27920,60%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000035959
LEGO® DC Super-Villains,62000,6200,90%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000013222
LEGO® 인크레더블,62000,4960,92%,2025-08-30,2025/9/7 23:59,https://store.nintendo.co.kr/70010000010701
Neko Bento 2,8250,1990,76%,2025-08-30,2025/9/23 23:59,https://store.nintendo.co.kr/70010000103873
10살 전에 키우는 패턴 사고 퍼즐,8900,7900,11%,2025-08-30,2025/9/21 23:59,https://store.nintendo.co.kr/70010000104325
Not Not 2 - 두뇌 챌린지,5690,2840,50%,2025-08-30,2025/9/9 23:59,https://store.nintendo.co.kr/70010000100581
세계 일주 퍼즐,3900,2900,26%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000103338
Bridge Constructor Studio,13500,10120,25%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000092901
7데이즈 오리진스(7Days Origins),14000,9800,30%,2025-08-30,2025/9/19 23:59,https://store.nintendo.co.kr/70010000043760
세계 국기 마스터,3900,1950,50%,2025-08-30,2025/9/20 23:59,https://store.nintendo.co.kr/70010000093647
사이코데믹 ~특수 수사 사건부 X-FILE~,34800,20880,40%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000086962
Neko Bento,9700,1990,79%,2025-08-30,2025/9/14 23:59,https://store.nintendo.co.kr/70010000088874
전생했더니 슬라임이었던 건에 대하여 템페스트 스토리즈,59800,23800,60%,2025-08-30,2025/9/1 23:59,https://store.nintendo.co.kr/70010000062356
TSUKIHIME -A piece of blue glass moon-,75000,45000,40%,2025-08-30,2025/9/15 23:59,https://store.nintendo.co.kr/70010000077994
소피아의 여행Sophia the Traveler,9900,4950,50%,2025-08-30,2025/9/10 23:59,https://store.nintendo.co.kr/70010000049724
